respondent_id,persona_label,Q1_age,Q2_gender,Q3_state,Q4_location,Q5_income,Q6_edu_level,Q7_stream,Q8_board,Q9_academic_perf,Q10_career_clarity,Q11_challenges,Q12_past_guidance,Q13_guidance_satisfaction,Q14_decision_urgency,Q15_subject_interests,Q16_career_domain,Q17_learning_style,Q18_top_skills,Q19_influencers,Q20_who_pays,Q21_career_factors,Q22_past_spending,Q23_info_sources,Q24_missing_gap,Q25_psych_fear_wrong_choice,Q25_psych_prefer_independent,Q25_psych_financial_over_passion,Q25_psych_risk_tolerance,Q25_psych_long_term_thinking,Q26_feature_prefs,Q27_tradeoff_wtp,Q28_monthly_wtp,Q29_onetime_wtp,Q30_primary_source,Q31_platform_adoption,wtp_monthly_numeric,urgency_score,income_numeric,clarity_score,psycho_composite
R1042,Focused Climber,15-17,Female,Maharashtra,Tier-3 city,,UG 2nd year+,Not decided,IB,70-80%,Just exploring,No access to mentors,Online platform,3 - Neutral,3-6 months,Design Art Media|Literature Languages,Law and Civil Services,Live classes|Watching videos,Not sure yet|Research writing,Friends / peers|Myself - independent,I decide and pay myself,Personal passion|Social status / prestige,Coaching classes (JEE NEET etc)|Online courses / certifications,Career apps / websites,Open text response,3,4,4,3,5,Psychometric tests|Salary and job demand dashboard,Exam study plan,Above Rs1000/mo,Yes up to Rs499,Social media,Definitely would use,1200,2,,3,3.8
R1043,Focused Climber,15-17,Female,Gujarat,Tier-2 city,Above Rs20L,PG / Other,Commerce without Maths,State Board,Below 60%,Completely clear,Unaware of emerging careers,Family/friends only,4 - Satisfied,6-12 months,Law Social Sciences,Business Finance Entrepreneurship|Creative Arts Media Design|Medicine and Healthcare,Gamified learning|Watching videos,Leadership teamwork,Online influencers / social media,I decide and pay myself,Work-life balance,Coaching classes (JEE NEET etc)|Online courses / certifications,Google / web search|YouTube,Open text response,2,4,4,5,5,Peer community forums|Psychometric tests,3mo platform access,Rs100-299/mo,Yes up to Rs999,Coaching institute,Likely would use,200,3,2500000.0,1,4.0
R1044,Focused Climber,18-20,Male,Telangana,Rural / Village,Rs5-10L,Class 11,Science PCM,State Board,80-90%,Somewhat confused,Too many options,Private counsellor (paid),3 - Neutral,More than 2 years,Government Policy|Law Social Sciences,Creative Arts Media Design|Emerging fields|Technology and Engineering,Gamified learning|Peer discussions,Empathy interpersonal skills|Mathematical ability|Technical coding skills,Parents / guardians,I decide and pay myself,Location flexibility|Personal passion|Social status / prestige,Private career counsellor session,Career apps / websites|Parents / family|Teachers / school,Open text response,1,4,5,4,4,AI chatbot 24/7|College and exam recommender,1-on-1 professional session,Rs100-299/mo,Yes up to Rs999,YouTube,Definitely would use,200,5,750000.0,4,3.6
R1045,Confused Drifter,21-23,Male,Tamil Nadu,Tier-2 city,Rs10-20L,Class 12,Science PCM,ICSE / ISC,80-90%,Mostly clear,Dont know exams needed,Family/friends only,1 - Very dissatisfied,1-2 years,Technology Computers AI,Education and Research|Emerging fields|Technology and Engineering,Hands-on projects|Live classes,Communication public speaking|Empathy interpersonal skills|Not sure yet,Myself - independent|No one - still figuring out,I decide - parents pay,Help society|Job security and stability,Study materials / books,Google / web search|I dont search - feel lost|Teachers / school,Open text response,4,2,3,3,3,1-on-1 mentorship|AI chatbot 24/7,Would not spend Rs499,Rs100-299/mo,No - would not pay,School teacher/counsellor,Neutral,200,4,1500000.0,2,3.0
R1046,Anxious Achiever,18-20,Female,Gujarat,Tier-2 city,Below Rs2L,UG 1st year,Science PCB,State Board,60-70%,Somewhat confused,Fear of wrong choice,Online platform,2 - Dissatisfied,6-12 months,Agriculture Environment|Design Art Media|Literature Languages,Emerging fields|Medicine and Healthcare,Gamified learning|Live classes|Reading articles/books,Empathy interpersonal skills,No one - still figuring out|Teachers / counsellors,I decide - parents pay,High earning potential|Social status / prestige,Study materials / books,I dont search - feel lost|YouTube,Open text response,4,3,5,3,4,Psychometric tests|Scholarship finder,Detailed career report,Rs500-999/mo,Yes up to Rs499,Social media,Neutral,750,3,100000.0,4,3.8
R1047,Confused Drifter,21-23,Male,Telangana,Tier-3 city,Rs5-10L,Class 11,Science PCB,State Board,80-90%,Just exploring,Dont know my strengths,Never received guidance,NA,6-12 months,Government Policy|Science Physics Chemistry Biology,Defence and Public Service|Emerging fields,Gamified learning,Empathy interpersonal skills|Not sure yet|Technical coding skills,Friends / peers,Parents decide and pay,Social status / prestige|Work-life balance,Nothing - never paid,Coaching institutes|I dont search - feel lost|Teachers / school,Open text response,4,3,2,1,3,1-on-1 mentorship|Salary and job demand dashboard|Scholarship finder,Would not spend Rs499,Up to Rs99/mo,No - would not pay,Social media,Neutral,70,3,750000.0,3,2.6
R1048,Curious Explorer,Under 15,Male,West Bengal,Tier-3 city,Rs5-10L,Class 10,Commerce without Maths,State Board,80-90%,Just exploring,Fear of wrong choice,Online platform,NA,6-12 months,Government Policy|Technology Computers AI,Social Work Development|Sports Fitness Wellness,Watching videos,Empathy interpersonal skills|Mathematical ability|Research writing,Friends / peers|Myself - independent,Joint decision,Job security and stability|Location flexibility|Scope for growth,Coaching classes (JEE NEET etc),I dont search - feel lost|Social media,Open text response,3,4,1,4,4,1-on-1 mentorship|Scholarship finder,Exam study plan,Rs500-999/mo,Yes above Rs999,YouTube,Definitely would use,750,3,750000.0,3,3.2
R1049,Curious Explorer,15-17,Non-binary / Other,Uttar Pradesh,Tier-3 city,Above Rs20L,Class 11,Science PCM,CBSE,80-90%,Somewhat confused,No access to mentors|Too many options,Never received guidance,3 - Neutral,1-2 years,Government Policy|Mathematics Statistics,Social Work Development|Technology and Engineering,Gamified learning|Peer discussions|Reading articles/books,Mathematical ability,Extended family|Online influencers / social media,I decide - parents pay,Personal passion|Work-life balance,Private career counsellor session,Social media,Open text response,2,4,2,5,3,1-on-1 mentorship|Personalised roadmap|Psychometric tests,Would not spend Rs499,Up to Rs99/mo,No - would not pay,School teacher/counsellor,Likely would use,70,4,2500000.0,4,3.2
R1050,Confused Drifter,18-20,Female,Kerala,Tier-2 city,Rs2-5L,Class 11,Commerce with Maths,State Board,70-80%,Very confused,Dont know my strengths|Unaware of emerging careers,Family/friends only,1 - Very dissatisfied,6-12 months,Literature Languages|Mathematics Statistics|Technology Computers AI,Creative Arts Media Design|Social Work Development|Technology and Engineering,Gamified learning|Peer discussions|Reading articles/books,Analytical logical thinking|Empathy interpersonal skills,Friends / peers|Myself - independent,I decide - parents pay,Help society|Scope for growth,Nothing - never paid|Study materials / books,Google / web search|Parents / family,Open text response,3,3,3,1,3,AI chatbot 24/7|Personalised roadmap|Scholarship finder,1-on-1 professional session,Above Rs1000/mo,Yes above Rs999,School teacher/counsellor,Definitely would NOT use,1275,3,350000.0,5,2.6
R1051,Focused Climber,18-20,Male,Tamil Nadu,Tier-2 city,Rs5-10L,Class 12,Science PCM,ICSE / ISC,60-70%,Mostly clear,Fear of wrong choice|Unaware of emerging careers,Family/friends only,4 - Satisfied,3-6 months,Technology Computers AI,Business Finance Entrepreneurship|Emerging fields|Social Work Development,Peer discussions,Technical coding skills,Parents / guardians|Teachers / counsellors,Joint decision,High earning potential|Social status / prestige,Study materials / books,Career apps / websites|Google / web search|YouTube,Open text response,3,4,3,4,4,1-on-1 mentorship|College and exam recommender|Scholarship finder,1-on-1 professional session,Rs300-499/mo,Yes up to Rs999,School teacher/counsellor,Likely would use,400,2,750000.0,2,3.6
R1052,Confused Drifter,15-17,Male,Delhi,Tier-2 city,Prefer not to say,Class 11,Science PCM,ICSE / ISC,60-70%,Just exploring,Family pressure,Family/friends only,1 - Very dissatisfied,1-2 years,Science Physics Chemistry Biology,Business Finance Entrepreneurship|Sports Fitness Wellness,Live classes|Peer discussions|Watching videos,Analytical logical thinking,Parents / guardians|Teachers / counsellors,Parents decide and pay,High earning potential|Personal passion,Nothing - never paid,Coaching institutes|Parents / family|Social media,Open text response,5,3,3,2,2,1-on-1 mentorship|College and exam recommender|Psychometric tests,Detailed career report,Up to Rs99/mo,Yes up to Rs199,YouTube,Definitely would NOT use,70,4,,3,3.0
R1053,Confused Drifter,15-17,Female,Rajasthan,Tier-2 city,Rs10-20L,Class 11,Science PCB,CBSE,80-90%,Very confused,Dont know my strengths|Fear of wrong choice,Family/friends only,3 - Neutral,More than 2 years,Design Art Media|Science Physics Chemistry Biology,Medicine and Healthcare|Sports Fitness Wellness,Live classes|Reading articles/books|Watching videos,Communication public speaking|Research writing,Extended family|Friends / peers,Parents decide and pay,Help society|Location flexibility,Private career counsellor session,Google / web search|YouTube,Open text response,3,3,2,2,1,1-on-1 mentorship|Salary and job demand dashboard,Detailed career report,Up to Rs99/mo,Yes up to Rs199,I dont use anything,Definitely would NOT use,70,5,1500000.0,5,2.2
R1054,Confused Drifter,15-17,Male,Assam,Rural / Village,Rs5-10L,Class 12,Arts / Humanities,State Board,80-90%,Very confused,Dont know my strengths|Fear of wrong choice,Never received guidance,2 - Dissatisfied,6-12 months,Law Social Sciences|Technology Computers AI,Emerging fields|Law and Civil Services|Medicine and Healthcare,Watching videos,Communication public speaking|Not sure yet,Myself - independent,I decide - parents pay,Help society|Social status / prestige,Nothing - never paid,Google / web search|I dont search - feel lost|Social media,Open text response,5,3,2,2,2,AI chatbot 24/7|Personalised roadmap|Psychometric tests,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs999,Google / web search,Likely would use,70,3,750000.0,5,2.8
R1055,Confused Drifter,21-23,Male,Karnataka,Tier-3 city,Rs5-10L,Class 10,Vocational / Diploma,State Board,Below 60%,Mostly clear,Dont know my strengths|Family pressure,Never received guidance,1 - Very dissatisfied,6-12 months,Agriculture Environment|Design Art Media|Technology Computers AI,Business Finance Entrepreneurship,Peer discussions,Analytical logical thinking|Not sure yet,Friends / peers|Online influencers / social media,Not sure,Job security and stability|Location flexibility|Scope for growth,Study materials / books,Social media|YouTube,Open text response,4,2,3,2,2,Personalised roadmap|Scholarship finder,Detailed career report,Rs100-299/mo,Yes up to Rs999,Family / relatives,Likely would use,200,3,750000.0,2,2.6
R1056,Focused Climber,21-23,Female,West Bengal,Tier-2 city,Rs5-10L,UG 2nd year+,Science PCB,State Board,60-70%,Completely clear,No access to mentors,Never received guidance,2 - Dissatisfied,More than 2 years,Agriculture Environment|Mathematics Statistics,Defence and Public Service|Medicine and Healthcare,Gamified learning|Reading articles/books|Watching videos,Analytical logical thinking,Friends / peers|Parents / guardians,I decide and pay myself,Help society|Personal passion|Work-life balance,Nothing - never paid,Social media,Open text response,2,5,4,4,5,Scholarship finder,3mo platform access,Nothing - free only,Yes up to Rs499,Social media,Neutral,0,5,750000.0,1,4.0
R1057,Pragmatic Follower,21-23,Male,Tamil Nadu,Tier-2 city,Rs5-10L,UG 1st year,Vocational / Diploma,State Board,70-80%,Somewhat confused,Unaware of emerging careers,School counsellor (free),4 - Satisfied,1-2 years,Law Social Sciences|Mathematics Statistics|Technology Computers AI,Law and Civil Services|Medicine and Healthcare|Sports Fitness Wellness,Hands-on projects|Peer discussions,Analytical logical thinking|Research writing,Extended family,Not sure,Job security and stability|Personal passion,Coaching classes (JEE NEET etc),Coaching institutes|I dont search - feel lost|Teachers / school,Open text response,3,3,4,2,3,1-on-1 mentorship|Peer community forums|Psychometric tests,Exam study plan,Rs300-499/mo,Yes up to Rs199,Family / relatives,Neutral,400,4,750000.0,4,3.0
R1058,Confused Drifter,Under 15,Female,Rajasthan,Tier-2 city,Prefer not to say,Class 10,Not decided,State Board,Below 60%,Somewhat confused,Dont know my strengths|Too many options,Family/friends only,NA,6-12 months,Design Art Media|Government Policy,Education and Research|Law and Civil Services,Watching videos,Communication public speaking|Empathy interpersonal skills,No one - still figuring out|Parents / guardians,Joint decision,Help society|High earning potential,Online courses / certifications,Social media|Teachers / school|YouTube,Open text response,5,2,3,3,2,AI chatbot 24/7|Salary and job demand dashboard,1-on-1 professional session,Rs100-299/mo,Yes up to Rs199,School teacher/counsellor,Definitely would NOT use,200,3,,4,3.0
R1059,Anxious Achiever,15-17,Male,Madhya Pradesh,Tier-2 city,Rs10-20L,UG 2nd year+,Science PCB,State Board,80-90%,Very confused,Family pressure,Never received guidance,4 - Satisfied,3-6 months,Business Finance Economics|Science Physics Chemistry Biology,Education and Research|Medicine and Healthcare|Social Work Development,Hands-on projects|Live classes|Reading articles/books,Not sure yet|Research writing,No one - still figuring out|Parents / guardians,I decide - parents pay,Location flexibility,Study materials / books,Coaching institutes|Parents / family,Open text response,5,4,5,3,4,Personalised roadmap,Exam study plan,Up to Rs99/mo,Yes up to Rs199,Google / web search,Definitely would use,70,2,1500000.0,5,4.2
R1060,Focused Climber,21-23,Female,West Bengal,Tier-2 city,Above Rs20L,UG 2nd year+,Arts / Humanities,CBSE,60-70%,Mostly clear,Fear of wrong choice|Unaware of emerging careers,School counsellor (free),5 - Very satisfied,3-6 months,Law Social Sciences|Literature Languages|Medicine Healthcare,Education and Research|Sports Fitness Wellness,Peer discussions,Creative thinking design|Empathy interpersonal skills,Myself - independent|No one - still figuring out,I decide and pay myself,Help society|Social status / prestige,Test prep apps / subscriptions,I dont search - feel lost|Parents / family|YouTube,Open text response,2,5,3,4,5,Salary and job demand dashboard|Scholarship finder,1-on-1 professional session,Rs300-499/mo,Yes above Rs999,Google / web search,Likely would use,400,2,2500000.0,2,3.8
R1061,Pragmatic Follower,21-23,Male,Tamil Nadu,Tier-3 city,Rs2-5L,Class 11,Science PCB,Other,80-90%,Mostly clear,No access to mentors,Never received guidance,3 - Neutral,1-2 years,Science Physics Chemistry Biology,Education and Research|Law and Civil Services|Medicine and Healthcare,Gamified learning|Peer discussions|Watching videos,Analytical logical thinking|Empathy interpersonal skills|Technical coding skills,Extended family|Teachers / counsellors,I decide - parents pay,Personal passion|Social status / prestige,Nothing - never paid,Google / web search|I dont search - feel lost,Open text response,4,2,3,3,3,AI chatbot 24/7|College and exam recommender|Psychometric tests,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs999,Family / relatives,Definitely would NOT use,70,4,350000.0,2,3.0
R1062,Focused Climber,24 or above,Male,Karnataka,Tier-2 city,Rs10-20L,UG 1st year,Science PCB,IB,70-80%,Mostly clear,Dont know exams needed,School counsellor (free),2 - Dissatisfied,Within 3 months,Business Finance Economics|Science Physics Chemistry Biology|Technology Computers AI,Emerging fields,Gamified learning,Technical coding skills,Myself - independent|Parents / guardians,I decide - parents pay,Job security and stability|Scope for growth,Online courses / certifications,Google / web search|Parents / family,Open text response,3,4,4,5,5,Personalised roadmap|Psychometric tests,Detailed career report,Rs500-999/mo,Yes up to Rs199,Online career platform,Likely would use,750,1,1500000.0,2,4.2
R1063,Confused Drifter,15-17,Male,Uttar Pradesh,Tier-2 city,Below Rs2L,Class 11,Science PCM,State Board,80-90%,Very confused,Dont know exams needed|Unaware of emerging careers,Family/friends only,4 - Satisfied,1-2 years,Business Finance Economics|Mathematics Statistics|Science Physics Chemistry Biology,Creative Arts Media Design|Technology and Engineering,Live classes|Peer discussions,Research writing|Technical coding skills,Myself - independent|Parents / guardians,I decide and pay myself,Job security and stability|Scope for growth,Nothing - never paid,I dont search - feel lost|Parents / family,Open text response,4,3,2,3,3,Scholarship finder,3mo platform access,Rs100-299/mo,No - would not pay,Google / web search,Unlikely to use,200,4,100000.0,5,3.0
R1064,Focused Climber,18-20,Male,Punjab,Tier-3 city,Rs5-10L,UG 2nd year+,Commerce without Maths,IB,Above 90%,Completely clear,Too many options|Unaware of emerging careers,Private counsellor (paid),4 - Satisfied,3-6 months,Literature Languages,Defence and Public Service|Law and Civil Services,Gamified learning|Live classes|Reading articles/books,Communication public speaking|Not sure yet,No one - still figuring out|Online influencers / social media,I decide - parents pay,Personal passion|Scope for growth|Social status / prestige,Online courses / certifications|Private career counsellor session,Coaching institutes|Google / web search|Teachers / school,Open text response,2,4,3,5,4,College and exam recommender,Would not spend Rs499,Rs300-499/mo,Yes up to Rs999,Family / relatives,Definitely would use,400,2,750000.0,1,3.6
R1065,Anxious Achiever,15-17,Male,Gujarat,Rural / Village,Rs5-10L,UG 2nd year+,Science PCM,ICSE / ISC,80-90%,Mostly clear,Dont know my strengths,School counsellor (free),5 - Very satisfied,Within 3 months,Medicine Healthcare,Emerging fields|Technology and Engineering,Gamified learning|Peer discussions|Reading articles/books,Analytical logical thinking|Research writing|Technical coding skills,No one - still figuring out|Parents / guardians,I decide - parents pay,Personal passion,Coaching classes (JEE NEET etc),Coaching institutes|I dont search - feel lost|Social media,Open text response,5,3,4,2,5,Personalised roadmap|Psychometric tests,Detailed career report,Rs500-999/mo,No - would not pay,YouTube,Unlikely to use,750,1,750000.0,2,3.8
R1066,Pragmatic Follower,15-17,Male,Bihar,Rural / Village,Rs2-5L,Class 10,Science PCB,State Board,80-90%,Just exploring,Family pressure|No access to mentors,Family/friends only,3 - Neutral,1-2 years,Design Art Media|Medicine Healthcare,Education and Research,Hands-on projects,Creative thinking design|Not sure yet,Extended family|Teachers / counsellors,Parents decide and pay,Scope for growth,Nothing - never paid,Coaching institutes|Parents / family|Teachers / school,Open text response,5,2,4,2,3,College and exam recommender|Psychometric tests,Exam study plan,Rs100-299/mo,Yes up to Rs999,Online career platform,Definitely would use,200,4,350000.0,3,3.2
R1067,Anxious Achiever,15-17,Male,Telangana,Metro city,Above Rs20L,Class 11,Commerce with Maths,State Board,60-70%,Very confused,Dont know my strengths|Fear of wrong choice,Never received guidance,3 - Neutral,Within 3 months,Law Social Sciences|Science Physics Chemistry Biology,Creative Arts Media Design|Sports Fitness Wellness|Technology and Engineering,Peer discussions|Reading articles/books,Creative thinking design|Not sure yet,Extended family|Friends / peers,Parents decide and pay,Scope for growth|Work-life balance,Online courses / certifications,Career apps / websites|Google / web search|I dont search - feel lost,Open text response,4,2,5,3,4,AI chatbot 24/7|Personalised roadmap|Salary and job demand dashboard,Detailed career report,Rs300-499/mo,Yes above Rs999,School teacher/counsellor,Definitely would use,400,1,2500000.0,5,3.6
R1068,Focused Climber,15-17,Male,Kerala,Tier-2 city,Rs5-10L,Class 12,Commerce with Maths,State Board,80-90%,Mostly clear,Dont know exams needed|Dont know my strengths,School counsellor (free),2 - Dissatisfied,Within 3 months,Agriculture Environment|Mathematics Statistics,Business Finance Entrepreneurship|Sports Fitness Wellness,Peer discussions|Watching videos,Communication public speaking|Creative thinking design|Research writing,Parents / guardians,Joint decision,Job security and stability,Study materials / books,Google / web search|I dont search - feel lost,Open text response,4,3,4,4,5,College and exam recommender,1-on-1 professional session,Rs100-299/mo,Yes up to Rs499,Family / relatives,Likely would use,200,1,750000.0,2,4.0
R1069,Confused Drifter,15-17,Male,Uttar Pradesh,Tier-2 city,Rs5-10L,Class 10,Commerce without Maths,State Board,Above 90%,Just exploring,Fear of wrong choice,Never received guidance,2 - Dissatisfied,6-12 months,Government Policy,Business Finance Entrepreneurship|Social Work Development,Hands-on projects|Live classes|Reading articles/books,Communication public speaking|Empathy interpersonal skills|Leadership teamwork,No one - still figuring out|Teachers / counsellors,I decide - parents pay,Job security and stability|Location flexibility,Nothing - never paid|Private career counsellor session,Social media|YouTube,Open text response,4,2,4,1,3,1-on-1 mentorship|AI chatbot 24/7|Scholarship finder,1-on-1 professional session,Rs300-499/mo,Yes up to Rs199,Family / relatives,Neutral,400,3,750000.0,3,2.8
R1070,Anxious Achiever,Under 15,Female,Karnataka,Tier-2 city,Rs10-20L,Class 12,Commerce with Maths,State Board,Not applicable,Very confused,Dont know exams needed,Family/friends only,2 - Dissatisfied,6-12 months,Law Social Sciences|Technology Computers AI,Business Finance Entrepreneurship,Gamified learning,Analytical logical thinking|Not sure yet|Technical coding skills,Extended family|Friends / peers,I decide - parents pay,Help society,Online courses / certifications,Parents / family|Teachers / school|YouTube,Open text response,5,2,4,2,4,College and exam recommender|Peer community forums|Scholarship finder,1-on-1 professional session,Nothing - free only,Yes up to Rs499,YouTube,Unlikely to use,0,3,1500000.0,5,3.4
R1071,Curious Explorer,18-20,Male,Gujarat,Tier-2 city,Rs2-5L,Class 12,Arts / Humanities,CBSE,80-90%,Very confused,Too many options,Never received guidance,2 - Dissatisfied,1-2 years,Design Art Media|Law Social Sciences,Emerging fields|Law and Civil Services|Medicine and Healthcare,Gamified learning,Analytical logical thinking|Communication public speaking|Empathy interpersonal skills,Teachers / counsellors,Parents decide and pay,High earning potential|Work-life balance,Nothing - never paid,Teachers / school,Open text response,3,4,3,3,3,Psychometric tests,3mo platform access,Rs300-499/mo,No - would not pay,I dont use anything,Definitely would NOT use,400,4,350000.0,5,3.2
R1072,Focused Climber,18-20,Male,West Bengal,Metro city,Rs5-10L,Class 10,Arts / Humanities,CBSE,Above 90%,Completely clear,Dont know my strengths|Unaware of emerging careers,Family/friends only,3 - Neutral,3-6 months,Design Art Media|Mathematics Statistics,Defence and Public Service|Sports Fitness Wellness|Technology and Engineering,Live classes,Empathy interpersonal skills|Leadership teamwork,Extended family|Online influencers / social media,I decide - parents pay,High earning potential|Scope for growth|Work-life balance,Online courses / certifications,I dont search - feel lost|Teachers / school|YouTube,Open text response,3,5,4,4,4,1-on-1 mentorship|Salary and job demand dashboard,Detailed career report,Up to Rs99/mo,Yes up to Rs199,Family / relatives,Likely would use,70,2,750000.0,1,4.0
R1073,Anxious Achiever,18-20,Female,West Bengal,Tier-3 city,Rs5-10L,UG 1st year,Commerce with Maths,CBSE,80-90%,Somewhat confused,Family pressure,Family/friends only,4 - Satisfied,3-6 months,Business Finance Economics|Literature Languages|Medicine Healthcare,Technology and Engineering,Live classes|Reading articles/books,Analytical logical thinking|Empathy interpersonal skills,Friends / peers,Not sure,High earning potential|Work-life balance,Nothing - never paid,Coaching institutes|Google / web search|I dont search - feel lost,Open text response,5,4,3,3,4,College and exam recommender|Psychometric tests,Exam study plan,Rs100-299/mo,Yes up to Rs199,Coaching institute,Neutral,200,2,750000.0,4,3.8
R1074,Pragmatic Follower,15-17,Male,Uttar Pradesh,Rural / Village,Rs5-10L,Class 11,Science PCM,CBSE,70-80%,Just exploring,Fear of wrong choice|Unaware of emerging careers,Never received guidance,4 - Satisfied,3-6 months,Agriculture Environment|Design Art Media|Science Physics Chemistry Biology,Technology and Engineering,Hands-on projects|Watching videos,Empathy interpersonal skills|Not sure yet|Research writing,Online influencers / social media,Joint decision,Location flexibility|Personal passion,Nothing - never paid,I dont search - feel lost|Parents / family|Teachers / school,Open text response,4,4,5,4,4,Salary and job demand dashboard|Scholarship finder,Detailed career report,Rs300-499/mo,Yes up to Rs499,YouTube,Unlikely to use,400,2,750000.0,3,4.2
R1075,Curious Explorer,15-17,Male,Telangana,Metro city,Rs2-5L,Class 12,Science PCM,IB,80-90%,Completely clear,Too many options,Never received guidance,2 - Dissatisfied,1-2 years,Design Art Media|Literature Languages|Technology Computers AI,Technology and Engineering,Gamified learning|Peer discussions,Creative thinking design|Technical coding skills,Myself - independent|Parents / guardians,Parents decide and pay,Job security and stability|Social status / prestige,Coaching classes (JEE NEET etc),Career apps / websites,Open text response,4,4,2,5,2,1-on-1 mentorship,Exam study plan,Above Rs1000/mo,Yes above Rs999,School teacher/counsellor,Neutral,1660,4,350000.0,1,3.4
R1076,Anxious Achiever,15-17,Male,Uttar Pradesh,Metro city,Rs10-20L,Class 11,Commerce without Maths,State Board,Above 90%,Just exploring,Financial constraints|No access to mentors,School counsellor (free),4 - Satisfied,1-2 years,Business Finance Economics|Mathematics Statistics,Education and Research,Hands-on projects|Peer discussions|Watching videos,Analytical logical thinking|Communication public speaking|Leadership teamwork,Teachers / counsellors,I decide and pay myself,Personal passion,Test prep apps / subscriptions,Coaching institutes|Google / web search|Parents / family,Open text response,3,4,3,2,4,Salary and job demand dashboard,Exam study plan,Nothing - free only,Yes up to Rs199,School teacher/counsellor,Likely would use,0,4,1500000.0,3,3.2
R1077,Anxious Achiever,21-23,Male,Andhra Pradesh,Metro city,Below Rs2L,UG 1st year,Not decided,Other,80-90%,Somewhat confused,Fear of wrong choice,Online platform,4 - Satisfied,3-6 months,Agriculture Environment|Law Social Sciences|Literature Languages,Medicine and Healthcare,Hands-on projects|Peer discussions,Creative thinking design|Mathematical ability,Myself - independent,I decide and pay myself,Job security and stability,Study materials / books,Social media,Open text response,4,2,3,2,4,Psychometric tests,Detailed career report,Rs300-499/mo,Yes up to Rs499,YouTube,Neutral,400,2,100000.0,4,3.0
R1078,Anxious Achiever,15-17,Female,Gujarat,Metro city,Rs5-10L,Class 12,Science PCB,State Board,60-70%,Mostly clear,Fear of wrong choice,School counsellor (free),4 - Satisfied,6-12 months,Business Finance Economics|Science Physics Chemistry Biology,Education and Research|Medicine and Healthcare,Reading articles/books,Analytical logical thinking,No one - still figuring out|Parents / guardians,I decide - parents pay,Help society|High earning potential,Private career counsellor session,Career apps / websites|YouTube,Open text response,4,3,5,3,4,College and exam recommender|Psychometric tests,3mo platform access,Rs100-299/mo,Yes up to Rs199,YouTube,Neutral,200,3,750000.0,2,3.8
R1079,Focused Climber,21-23,,Bihar,Tier-2 city,Rs5-10L,Class 11,Vocational / Diploma,State Board,Above 90%,Completely clear,Fear of wrong choice|Too many options,School counsellor (free),4 - Satisfied,3-6 months,Law Social Sciences|Mathematics Statistics,Law and Civil Services|Sports Fitness Wellness|Technology and Engineering,Gamified learning|Watching videos,Leadership teamwork|Not sure yet,Friends / peers,I decide and pay myself,Help society|Personal passion|Social status / prestige,Online courses / certifications,Google / web search|Parents / family,Open text response,2,5,3,3,5,AI chatbot 24/7|Peer community forums|Psychometric tests,3mo platform access,Rs300-499/mo,Yes up to Rs199,Social media,Likely would use,400,2,750000.0,1,3.6
R1080,Anxious Achiever,15-17,Male,Haryana,Tier-2 city,Below Rs2L,Class 11,Commerce with Maths,State Board,80-90%,Somewhat confused,Dont know my strengths,Online platform,3 - Neutral,3-6 months,Mathematics Statistics,Business Finance Entrepreneurship|Social Work Development,Hands-on projects|Reading articles/books,Creative thinking design|Technical coding skills,Myself - independent|Teachers / counsellors,I decide - parents pay,Job security and stability|Scope for growth|Social status / prestige,Coaching classes (JEE NEET etc),I dont search - feel lost|Teachers / school,Open text response,5,2,4,4,3,Psychometric tests|Salary and job demand dashboard,3mo platform access,Up to Rs99/mo,Yes up to Rs199,Social media,Definitely would use,70,2,100000.0,4,3.6
R1081,Confused Drifter,15-17,Male,Rajasthan,Tier-2 city,Rs10-20L,Class 12,Not decided,Other,Below 60%,Mostly clear,Dont know exams needed|Fear of wrong choice,School counsellor (free),1 - Very dissatisfied,More than 2 years,Agriculture Environment,Emerging fields|Medicine and Healthcare,Live classes|Peer discussions|Reading articles/books,Creative thinking design,Online influencers / social media|Parents / guardians,I decide and pay myself,Location flexibility|Personal passion|Scope for growth,Coaching classes (JEE NEET etc),Career apps / websites|Coaching institutes|Parents / family,Open text response,4,2,2,3,3,1-on-1 mentorship|Peer community forums|Personalised roadmap,Would not spend Rs499,Rs500-999/mo,No - would not pay,Family / relatives,Definitely would NOT use,750,5,1500000.0,2,2.8
R1082,Pragmatic Follower,21-23,,Maharashtra,Tier-2 city,Rs10-20L,Class 11,Science PCM,State Board,70-80%,Mostly clear,Dont know exams needed|No access to mentors,Never received guidance,5 - Very satisfied,3-6 months,Mathematics Statistics|Science Physics Chemistry Biology,Defence and Public Service|Law and Civil Services|Technology and Engineering,Hands-on projects,Analytical logical thinking|Not sure yet,Online influencers / social media|Parents / guardians,Joint decision,Job security and stability|Scope for growth|Social status / prestige,Private career counsellor session,I dont search - feel lost|Social media,Open text response,3,2,5,1,3,AI chatbot 24/7|Scholarship finder,Detailed career report,Rs100-299/mo,Yes up to Rs199,YouTube,Neutral,200,2,1500000.0,2,2.8
